n_group1,n_group2,mean_group1,mean_group2,median_group1,median_group2,sd_group1,sd_group2,mean_diff,median_diff,log2FC,pseudo_log2FC_shifted,signed_log2FC_absmean,t_welch,z_welch_approx,p_ttest,u_stat,z_wilcoxon,p_wilcoxon,cohen_d,cliffs_delta,trait,celltype_key,celltype,group_col,group1,group2,direction,q_ttest,q_wilcoxon
46038,3097,0.004435559367524927,-1.058966421833424,-0.02888211328536265,-1.1291906833648682,0.9995697896312445,1.0859664093722197,1.063401981200949,1.1003085700795054,,0.45261269752743216,-7.899001217530015,53.004862122483594,53.004862122483594,0.0,109638801.0,50.18979993354748,0.0,1.0578660608006816,0.5379301789176334,GCST90200839,cancerType_celltype,ICC_Epi_ICC,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
46038,3097,0.4200923019461709,-0.29241089920907126,0.3397167474031448,-0.3617692589759826,0.8446961489323307,0.7733890326602711,0.7125032011552421,0.7014860063791274,,0.39956014584101296,0.5227077628555592,49.32849248624103,49.32849248624103,0.0,104943434.0,44.04466476860816,0.0,0.8478330043514681,0.4720671218198642,GCST90199795,cancerType_celltype,ICC_Epi_ICC,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
46038,3097,0.45811416518839815,-0.3371592305248117,0.4047020226716995,-0.3970955312252044,0.9777926626561144,0.8559114470566944,0.7952733957132099,0.801797553896904,,0.3790332321402149,0.44227594748316346,49.57755011590528,49.57755011590528,0.0,103950240.5,42.7448072063688,0.0,0.8193925881270824,0.4581353545693738,GCST90200603,cancerType_celltype,ICC_Epi_ICC,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
46038,3097,0.03533087423835594,-1.0075823894011393,-0.0059538432396948,-1.111479640007019,1.2287742685617222,1.2626221778729712,1.0429132636394953,1.1055257967673242,,0.3840338246321305,-4.833785152058175,44.56904450358341,44.56904450358341,0.0,103608121.0,42.297052947742905,0.0,0.8472531935817051,0.4533363609736103,GCST90200330,cancerType_celltype,ICC_Epi_ICC,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
46038,3097,0.17485606337432225,-0.24413883758761348,0.15840724110603324,-0.2616417706012726,0.5292667253833279,0.4783184654192363,0.4189949009619357,0.4200490117073058,,0.31688889815638854,-0.48153165143183946,46.85710357586147,46.85710357586147,0.0,103211335.0,41.777753050300255,0.0,0.796262483765628,0.44777054706096076,GCST90200057,cancerType_celltype,ICC_Epi_ICC,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
46038,3097,0.022089975129603954,-0.8523794386480551,-0.025516622699797098,-0.941798985004425,1.0486299400741912,1.1119942095657498,0.8744694137776591,0.9162823623046279,,0.34542251393586854,-5.269968476979591,42.510493123035346,42.510493123035346,2.30608e-318,102927109.0,41.405767817326975,0.0,0.8306641044323022,0.44378363969745305,GCST90199756,cancerType_celltype,ICC_Epi_ICC,tissue,Tumor,Adjacent,group1_higher,1.20891866e-316,0.0
46038,3097,0.07527494388421296,-0.6751374948340364,0.04418453201651565,-0.6898785829544067,1.008370804654339,0.8968446201013691,0.7504124387182494,0.7340631149709224,,0.2724158095376926,-3.164922682295363,44.702338903554526,44.702338903554526,0.0,101465723.0,39.49315598141511,0.0,0.7491315205355391,0.42328442215814666,GCST90200299,cancerType_celltype,ICC_Epi_ICC,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
46038,3097,0.16609418998913347,-0.3927668355591684,0.14847002178430552,-0.4217663109302521,0.7648609386486916,0.6483721555935137,0.5588610255483019,0.5702363327145576,,0.2981818992271789,-1.2416664953089105,45.86886889957686,45.86886889957686,0.0,101437453.0,39.456157175759905,0.0,0.7372357202988232,0.4228878719791822,GCST90199876,cancerType_celltype,ICC_Epi_ICC,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
46038,3097,0.1491597563575426,-0.7942858492684413,0.14268149435520164,-0.9418660402297974,1.2990227404456152,1.2229210111942492,0.9434456056259839,1.084547534584999,,0.34781054324663846,-2.412792099499851,41.39066596466712,41.39066596466712,2.1409928656740614e-306,101279656.5,39.24963853279667,0.0,0.7288899498964432,0.4206744220211005,GCST90199684,cancerType_celltype,ICC_Epi_ICC,tissue,Tumor,Adjacent,group1_higher,8.582862576216899e-305,0.0
46038,3097,0.0018468607033397472,-0.6201881236070508,-0.0168530978262424,-0.6533127427101135,0.8343193635700676,0.7783576181652662,0.6220349843103905,0.6364596448838711,,0.2940638313243835,-8.39070840842804,42.84889644859324,42.84889644859324,0.0,101156594.0,39.08857855681709,0.0,0.7486240647377448,0.41894819434516073,GCST90199967,cancerType_celltype,ICC_Epi_ICC,tissue,Tumor,Adjacent,group1_higher,0.0,0.0
