celltype,reason
ALM_Epi_ALM,too_few_cells_or_no_valid_traits
BLCA_Epi_BLCA,too_few_cells_or_no_valid_traits
BRCA_Epi_BRCA,too_few_cells_or_no_valid_traits
CHC_Epi_CHC,too_few_cells_or_no_valid_traits
GCTB_Epi_GCTB,too_few_cells_or_no_valid_traits
KIRP_Epi_KIRP,too_few_cells_or_no_valid_traits
LYM_Epi_LYM,too_few_cells_or_no_valid_traits
NB_Epi_NB,too_few_cells_or_no_valid_traits
NET_Epi_NET,too_few_cells_or_no_valid_traits
NPC_Epi_NPC,too_few_cells_or_no_valid_traits
OS_Epi_OS,too_few_cells_or_no_valid_traits
PAAD_Epi_PAAD,too_few_cells_or_no_valid_traits
PRAD_Epi_PRAD,too_few_cells_or_no_valid_traits
SKCM_Epi_SKCM,too_few_cells_or_no_valid_traits
TGCT_Epi_TGCT,too_few_cells_or_no_valid_traits
UVM_Epi_UVM,too_few_cells_or_no_valid_traits
